#Tax                                                                  	AF4_62 	AF4_61 	AF4_41 	AF4_42 	AF4_51 	AF4_22 	AF4_21 	AF4_31 	AF4_32 	AF4_12 	AF4_11 	P4_21 	P4_22 	P4_51 	P4_42 	P4_41 	P4_61 	P4_62 	P4_11 	P4_12 	P4_32 	P4_31 	UCB4_61 	UCB4_62 	UCB4_21 	UCB4_42 	UCB4_22 	UCB4_41 	UCB4_32 	UCB4_31 	UCB4_11 	UCB4_12 	UCB4_51 	M4_11 	M4_12 	M4_21 	M4_22 	M4_31 	M4_32 	M4_42 	M4_41 	M4_51 	M4_61 	M4_62
s__Ruminococcus_sp._NK3A76                                            	     0 	   774 	     0 	    59 	     0 	   186 	     0 	     0 	    89 	    44 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    103 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	     94 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._HUN007                                            	     0 	     0 	     0 	     0 	     0 	     0 	    33 	     0 	     0 	     0 	     0 	   80 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._FC2018                                            	     0 	     0 	     0 	     0 	     0 	     0 	    11 	     0 	   268 	    88 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:90                                            	     0 	     0 	     0 	     0 	     0 	     0 	    55 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:9                                             	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   179 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:724                                           	     0 	     0 	     0 	     0 	     0 	   325 	    66 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	  211 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:624                                           	     0 	     0 	     0 	     0 	     0 	   186 	     0 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:563                                           	     0 	     0 	     0 	     0 	     0 	   744 	   110 	    12 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	    107 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:488                                           	     0 	     0 	     0 	     0 	     0 	   651 	    11 	     0 	     0 	     0 	    50 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:403                                           	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:379                                           	     0 	     0 	     0 	     0 	     0 	    93 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:353                                           	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:330                                           	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   179 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:254                                           	     0 	     0 	     0 	     0 	     0 	    93 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:177                                           	     0 	     0 	     0 	    89 	     0 	   325 	     0 	     0 	    89 	    88 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:17                                            	     0 	     0 	     0 	     0 	     0 	     0 	    77 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:108-related_41_35                             	     0 	     0 	     0 	     0 	     0 	     0 	    77 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._CAG:108                                           	     0 	     0 	     0 	     0 	     0 	    93 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_sp._5_1_39BFAA                                        	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    25 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_obeum_CAG:39                                          	     0 	     0 	    13 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_lactaris                                              	     0 	     0 	     0 	     0 	     0 	     0 	    66 	    51 	    89 	     0 	   101 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    103 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_gnavus_CAG:126                                        	     0 	     0 	     0 	     0 	     0 	     0 	    55 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_gnavus                                                	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    12 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_gauvreauii                                            	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_flavefaciens                                          	     0 	   387 	    40 	    29 	     0 	   558 	    55 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_champanellensis                                       	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    283 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_bromii                                                	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    44 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcus_albus                                                 	     0 	     0 	     0 	     0 	     0 	   279 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcaceae_bacterium_P7                                       	     0 	   129 	     0 	     0 	     0 	   279 	    44 	     0 	   268 	    44 	     0 	   80 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcaceae_bacterium_Marseille-P2935                          	     0 	     0 	    26 	     0 	     0 	    46 	    22 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcaceae_bacterium_D16                                      	     0 	     0 	     0 	     0 	     0 	    46 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    125 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminococcaceae_bacterium_cv2                                      	     0 	   258 	     0 	     0 	     0 	     0 	    55 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminobacter_sp._RM87                                              	     0 	   258 	     0 	     0 	     0 	     0 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminobacter_amylophilus                                           	     0 	   129 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminiclostridium_josui                                            	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Ruminiclostridium_cellobioparum                                    	     0 	     0 	     0 	     0 	     0 	    46 	    55 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	  201 	    0 	    0 	    0
s__Rubripirellula_obstinata                                           	     0 	     0 	     0 	     0 	     0 	   139 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Rubinisphaera_brasiliensis                                         	     0 	     0 	     0 	     0 	     0 	     0 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:45                                               	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:380                                              	     0 	   129 	   120 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:303                                              	     0 	     0 	     0 	     0 	     0 	   325 	    44 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:197_41_10                                        	     0 	     0 	     0 	     0 	     0 	     0 	    55 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:197                                              	     0 	     0 	     0 	    29 	     0 	    46 	    11 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	  110 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:182                                              	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:18_43_25                                         	     0 	   129 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._CAG:10041_57                                         	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._831b                                                 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    44 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._499                                                  	     0 	   129 	     0 	     0 	     0 	   139 	    44 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_sp._40_7                                                 	     0 	   258 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_inulinivorans                                            	     0 	     0 	     0 	     0 	     0 	    46 	    11 	     0 	    89 	    44 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    309 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_intestinalis                                             	     0 	     0 	     0 	     0 	     0 	   139 	     0 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Roseburia_hominis                                                  	     0 	     0 	     0 	     0 	     0 	     0 	    88 	     0 	   537 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Robinsoniella_sp._RHS                                              	     0 	     0 	     0 	    29 	     0 	    46 	    66 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Robinsoniella_sp._KNHs210                                          	     0 	     0 	     0 	     0 	     0 	    93 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Robinsoniella_peoriensis                                           	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	    89 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Rhodoferax_antarcticus                                             	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	  100 	    0 	    0 	    0
s__Rhodococcus_tukisamuensis                                          	     0 	     0 	     0 	    29 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Rhodococcus_sp._MTM3W5.2                                           	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   152 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Rhodococcus_maanshanensis                                          	     0 	     0 	     0 	    29 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Reichenbachiella_agariperforans                                    	     0 	     0 	     0 	     0 	     0 	     0 	    22 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Pyramidobacter_piscolens                                           	     0 	     0 	     0 	     0 	     0 	    46 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Psychrobacter_sp._P11G5                                            	     0 	   129 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Psychrobacter_sp._1501(2011)                                       	     0 	  1032 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Psychrobacter_maritimus                                            	     0 	   129 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Psychrobacter_aquaticus                                            	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   115 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Pseudoramibacter_alactolyticus                                     	     0 	     0 	     0 	    29 	     0 	   232 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Pseudomonas_syringae_group                                         	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    25 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	  120 	    0 	  197 	    0 	    0 	    0 	      0 	      0 	      0 	    110 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Pseudomonas_sp._NFPP33                                             	   452 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
s__Pseudomonas_sp._Leaf83                                             	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    103 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	      0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0 	    0
